,Dates,Temperature in celsius
488,1801-05-04,38.82
489,1801-05-05,36.03
490,1801-05-06,35.93
491,1801-05-07,40.76
492,1801-05-08,37.77
493,1801-05-09,42.34
494,1801-05-10,35.13
495,1801-05-11,45.07
496,1801-05-12,35.54
497,1801-05-13,44.88
498,1801-05-14,41.14
499,1801-05-15,40.85
500,1801-05-16,40.42
501,1801-05-17,45.15
502,1801-05-18,39.72
503,1801-05-19,34.46
504,1801-05-20,41.18
505,1801-05-21,43.06
506,1801-05-22,43.19
507,1801-05-23,38.76
508,1801-05-24,34.04
509,1801-05-25,43.97
510,1801-05-26,34.33
511,1801-05-27,43.79
512,1801-05-28,38.92
513,1801-05-29,38.13
514,1801-05-30,39.7
515,1801-05-31,34.56
516,1801-06-01,37.76
517,1801-06-02,36.68
518,1801-06-03,38.06
519,1801-06-04,39.58
520,1801-06-05,36.48
521,1801-06-06,39.72
522,1801-06-07,43.17
523,1801-06-08,38.52
524,1801-06-09,38.54
525,1801-06-10,46.15
526,1801-06-11,39.88
527,1801-06-12,45.71
528,1801-06-13,36.55
529,1801-06-14,46.28
530,1801-06-15,45.09
531,1801-06-16,43.51
532,1801-06-17,42.65
533,1801-06-18,35.88
534,1801-06-19,46.95
535,1801-06-20,41.46
536,1801-06-21,46.76
537,1801-06-22,45.16
538,1801-06-23,41.6
539,1801-06-24,46.68
540,1801-06-25,38.29
541,1801-06-26,40.8
542,1801-06-27,44.56
543,1801-06-28,46.92
544,1801-06-29,46.62
545,1801-06-30,45.61
546,1801-07-01,34.0
547,1801-07-02,37.54
548,1801-07-03,34.37
549,1801-07-04,33.66
550,1801-07-05,38.66
551,1801-07-06,37.94
552,1801-07-07,36.63
553,1801-07-08,34.48
554,1801-07-09,33.69
555,1801-07-10,35.78
556,1801-07-11,32.59
557,1801-07-12,34.18
558,1801-07-13,36.74
559,1801-07-14,33.01
560,1801-07-15,37.82
561,1801-07-16,34.89
562,1801-07-17,35.84
563,1801-07-18,32.36
564,1801-07-19,32.04
565,1801-07-20,35.66
566,1801-07-21,35.47
567,1801-07-22,34.57
568,1801-07-23,34.2
569,1801-07-24,38.72
570,1801-07-25,32.61
571,1801-07-26,36.5
572,1801-07-27,34.42
573,1801-07-28,33.8
574,1801-07-29,37.84
575,1801-07-30,33.98
576,1801-07-31,38.23
577,1801-08-01,33.91
578,1801-08-02,30.9
579,1801-08-03,35.17
580,1801-08-04,37.68
581,1801-08-05,37.31
582,1801-08-06,30.47
583,1801-08-07,37.13
584,1801-08-08,31.15
585,1801-08-09,29.32
586,1801-08-10,32.54
587,1801-08-11,31.98
588,1801-08-12,36.15
589,1801-08-13,35.16
590,1801-08-14,33.24
591,1801-08-15,33.08
592,1801-08-16,33.9
593,1801-08-17,30.77
594,1801-08-18,37.73
595,1801-08-19,36.96
596,1801-08-20,30.17
597,1801-08-21,37.02
598,1801-08-22,29.51
599,1801-08-23,28.28
600,1801-08-24,34.91
601,1801-08-25,36.22
602,1801-08-26,36.19
603,1801-08-27,31.66
604,1801-08-28,28.36
605,1801-08-29,32.17
606,1801-08-30,37.96
607,1801-08-31,32.07
608,1801-09-01,33.89
609,1801-09-02,28.17
610,1801-09-03,32.74
611,1801-09-04,30.6
612,1801-09-05,27.46
613,1801-09-06,33.55
614,1801-09-07,33.1
615,1801-09-08,32.51
616,1801-09-09,25.97
617,1801-09-10,26.11
618,1801-09-11,31.73
619,1801-09-12,25.12
620,1801-09-13,33.24
621,1801-09-14,30.67
622,1801-09-15,27.97
623,1801-09-16,26.01
624,1801-09-17,31.81
625,1801-09-18,30.44
626,1801-09-19,29.46
627,1801-09-20,33.24
628,1801-09-21,33.69
629,1801-09-22,25.99
630,1801-09-23,27.42
631,1801-09-24,32.43
632,1801-09-25,27.77
633,1801-09-26,28.6
634,1801-09-27,31.01
635,1801-09-28,25.68
636,1801-09-29,26.55
637,1801-09-30,30.69
638,1801-10-01,26.96
639,1801-10-02,22.22
640,1801-10-03,31.08
641,1801-10-04,27.07
642,1801-10-05,22.05
643,1801-10-06,21.71
644,1801-10-07,25.65
645,1801-10-08,21.21
646,1801-10-09,29.53
647,1801-10-10,24.16
648,1801-10-11,21.33
649,1801-10-12,24.36
650,1801-10-13,26.02
651,1801-10-14,31.7
652,1801-10-15,31.8
653,1801-10-16,29.15
654,1801-10-17,32.92
655,1801-10-18,28.4
656,1801-10-19,26.17
657,1801-10-20,29.44
658,1801-10-21,27.98
659,1801-10-22,22.01
660,1801-10-23,26.53
661,1801-10-24,28.45
662,1801-10-25,21.97
663,1801-10-26,32.23
664,1801-10-27,24.02
665,1801-10-28,21.38
666,1801-10-29,23.11
667,1801-10-30,23.56
668,1801-10-31,27.79
669,1801-11-01,18.8
670,1801-11-02,16.28
671,1801-11-03,17.94
672,1801-11-04,15.06
673,1801-11-05,20.75
674,1801-11-06,20.05
675,1801-11-07,15.96
676,1801-11-08,19.18
677,1801-11-09,22.62
678,1801-11-10,15.78
679,1801-11-11,22.62
680,1801-11-12,14.75
681,1801-11-13,22.36
682,1801-11-14,16.9
683,1801-11-15,19.65
684,1801-11-16,23.83
685,1801-11-17,17.73
686,1801-11-18,22.91
687,1801-11-19,22.66
688,1801-11-20,15.58
689,1801-11-21,20.75
690,1801-11-22,21.64
691,1801-11-23,16.62
692,1801-11-24,14.35
693,1801-11-25,16.99
694,1801-11-26,17.43
695,1801-11-27,22.66
696,1801-11-28,21.49
697,1801-11-29,18.69
698,1801-11-30,15.8
699,1801-12-01,8.36
700,1801-12-02,10.36
701,1801-12-03,12.2
702,1801-12-04,15.01
703,1801-12-05,14.49
704,1801-12-06,12.54
705,1801-12-07,11.73
706,1801-12-08,14.0
707,1801-12-09,15.2
708,1801-12-10,13.07
709,1801-12-11,11.55
710,1801-12-12,13.88
711,1801-12-13,13.88
712,1801-12-14,16.54
713,1801-12-15,16.98
714,1801-12-16,8.98
715,1801-12-17,16.9
716,1801-12-18,14.87
717,1801-12-19,10.33
718,1801-12-20,10.69
719,1801-12-21,16.76
720,1801-12-22,12.95
721,1801-12-23,16.96
722,1801-12-24,13.46
723,1801-12-25,13.78
724,1801-12-26,8.82
725,1801-12-27,10.98
726,1801-12-28,11.97
727,1801-12-29,10.12
728,1801-12-30,14.18
729,1801-12-31,11.84
730,1802-01-01,9.99
731,1802-01-02,9.35
732,1802-01-03,10.33
733,1802-01-04,10.22
734,1802-01-05,10.52
735,1802-01-06,10.89
736,1802-01-07,12.73
737,1802-01-08,9.93
738,1802-01-09,11.44
739,1802-01-10,13.48
740,1802-01-11,10.77
741,1802-01-12,11.05
742,1802-01-13,13.89
743,1802-01-14,11.91
744,1802-01-15,8.73
745,1802-01-16,8.73
746,1802-01-17,9.79
747,1802-01-18,13.51
748,1802-01-19,10.2
749,1802-01-20,8.77
750,1802-01-21,11.54
751,1802-01-22,13.87
752,1802-01-23,8.95
753,1802-01-24,12.69
754,1802-01-25,13.04
755,1802-01-26,13.01
756,1802-01-27,8.09
757,1802-01-28,8.55
758,1802-01-29,13.37
759,1802-01-30,12.3
760,1802-01-31,11.23
761,1802-02-01,13.29
762,1802-02-02,17.54
763,1802-02-03,16.12
764,1802-02-04,14.5
765,1802-02-05,16.48
766,1802-02-06,14.54
767,1802-02-07,15.11
768,1802-02-08,11.43
769,1802-02-09,14.13
770,1802-02-10,18.33
771,1802-02-11,12.63
772,1802-02-12,17.55
773,1802-02-13,17.94
774,1802-02-14,11.61
775,1802-02-15,14.18
776,1802-02-16,14.46
777,1802-02-17,13.56
778,1802-02-18,12.22
779,1802-02-19,17.08
780,1802-02-20,18.62
781,1802-02-21,18.09
782,1802-02-22,11.2
783,1802-02-23,16.03
784,1802-02-24,14.24
785,1802-02-25,17.92
786,1802-02-26,17.68
787,1802-02-27,14.56
788,1802-02-28,19.28
789,1802-03-01,22.84
790,1802-03-02,21.41
791,1802-03-03,19.8
792,1802-03-04,23.26
793,1802-03-05,20.28
794,1802-03-06,28.82
795,1802-03-07,28.34
796,1802-03-08,18.01
797,1802-03-09,20.39
798,1802-03-10,17.9
799,1802-03-11,27.13
800,1802-03-12,22.27
801,1802-03-13,24.13
802,1802-03-14,23.22
803,1802-03-15,19.71
804,1802-03-16,22.66
805,1802-03-17,21.87
806,1802-03-18,26.95
807,1802-03-19,19.37
808,1802-03-20,27.73
809,1802-03-21,26.37
810,1802-03-22,24.14
811,1802-03-23,28.61
812,1802-03-24,24.98
813,1802-03-25,24.72
814,1802-03-26,19.34
815,1802-03-27,19.88
816,1802-03-28,18.78
817,1802-03-29,17.36
818,1802-03-30,19.5
819,1802-03-31,24.79
820,1802-04-01,28.24
821,1802-04-02,26.96
822,1802-04-03,31.21
823,1802-04-04,27.94
824,1802-04-05,31.19
825,1802-04-06,25.13
826,1802-04-07,30.38
827,1802-04-08,27.7
828,1802-04-09,34.22
829,1802-04-10,30.7
830,1802-04-11,29.72
831,1802-04-12,26.02
832,1802-04-13,26.7
833,1802-04-14,23.32
834,1802-04-15,23.39
835,1802-04-16,27.08
836,1802-04-17,30.74
837,1802-04-18,27.94
838,1802-04-19,32.42
839,1802-04-20,23.57
840,1802-04-21,33.03
841,1802-04-22,27.14
842,1802-04-23,28.47
843,1802-04-24,25.93
844,1802-04-25,34.27
845,1802-04-26,30.71
846,1802-04-27,30.3
847,1802-04-28,24.99
848,1802-04-29,32.72
849,1802-04-30,32.33
850,1802-05-01,35.7
851,1802-05-02,41.68
852,1802-05-03,42.75
853,1802-05-04,45.97
854,1802-05-05,37.06
855,1802-05-06,34.14
856,1802-05-07,35.27
857,1802-05-08,45.33
858,1802-05-09,34.59
859,1802-05-10,35.72
860,1802-05-11,42.53
861,1802-05-12,43.01
862,1802-05-13,40.61
863,1802-05-14,41.99
864,1802-05-15,36.53
865,1802-05-16,39.05
866,1802-05-17,34.67
867,1802-05-18,35.48
868,1802-05-19,41.97
869,1802-05-20,36.34
870,1802-05-21,40.28
871,1802-05-22,44.68
872,1802-05-23,45.39
873,1802-05-24,40.46
874,1802-05-25,41.19
875,1802-05-26,38.69
876,1802-05-27,36.55
877,1802-05-28,45.56
878,1802-05-29,45.05
879,1802-05-30,35.55
880,1802-05-31,39.37
881,1802-06-01,42.46
882,1802-06-02,39.09
883,1802-06-03,41.79
884,1802-06-04,37.34
885,1802-06-05,45.45
886,1802-06-06,41.56
887,1802-06-07,39.71
888,1802-06-08,40.67
889,1802-06-09,39.0
890,1802-06-10,44.09
891,1802-06-11,35.98
892,1802-06-12,40.6
893,1802-06-13,40.18
894,1802-06-14,39.26
895,1802-06-15,42.12
896,1802-06-16,43.45
897,1802-06-17,37.79
898,1802-06-18,37.81
899,1802-06-19,44.8
900,1802-06-20,37.52
901,1802-06-21,36.51
902,1802-06-22,41.14
903,1802-06-23,43.67
904,1802-06-24,46.15
905,1802-06-25,44.19
906,1802-06-26,35.05
907,1802-06-27,41.83
908,1802-06-28,38.32
909,1802-06-29,41.86
910,1802-06-30,45.13
911,1802-07-01,33.5
912,1802-07-02,36.06
913,1802-07-03,36.54
914,1802-07-04,35.29
915,1802-07-05,37.8
916,1802-07-06,34.07
917,1802-07-07,33.2
918,1802-07-08,33.92
919,1802-07-09,33.74
920,1802-07-10,35.71
921,1802-07-11,38.66
922,1802-07-12,33.44
923,1802-07-13,38.44
924,1802-07-14,34.38
925,1802-07-15,32.26
926,1802-07-16,34.16
927,1802-07-17,37.39
928,1802-07-18,35.2
929,1802-07-19,32.07
930,1802-07-20,32.65
931,1802-07-21,36.47
932,1802-07-22,34.93
933,1802-07-23,37.49
934,1802-07-24,36.58
935,1802-07-25,35.04
936,1802-07-26,32.09
937,1802-07-27,38.62
938,1802-07-28,32.51
939,1802-07-29,34.58
940,1802-07-30,36.93
941,1802-07-31,38.15
942,1802-08-01,33.45
943,1802-08-02,34.32
944,1802-08-03,37.28
945,1802-08-04,35.6
946,1802-08-05,29.98
947,1802-08-06,33.5
948,1802-08-07,29.9
949,1802-08-08,35.6
950,1802-08-09,33.11
951,1802-08-10,31.06
952,1802-08-11,34.55
953,1802-08-12,28.61
954,1802-08-13,34.98
955,1802-08-14,29.82
956,1802-08-15,31.55
957,1802-08-16,34.81
958,1802-08-17,36.4
959,1802-08-18,34.28
960,1802-08-19,34.93
961,1802-08-20,29.48
962,1802-08-21,30.21
963,1802-08-22,31.49
964,1802-08-23,28.86
965,1802-08-24,31.55
966,1802-08-25,29.68
967,1802-08-26,30.24
968,1802-08-27,28.59
969,1802-08-28,34.86
970,1802-08-29,35.83
971,1802-08-30,33.22
972,1802-08-31,30.14
973,1802-09-01,29.28
974,1802-09-02,26.92
975,1802-09-03,27.52
976,1802-09-04,27.09
977,1802-09-05,29.14
978,1802-09-06,26.36
979,1802-09-07,29.86
980,1802-09-08,26.89
981,1802-09-09,28.81
982,1802-09-10,33.93
983,1802-09-11,25.67
984,1802-09-12,28.72
985,1802-09-13,31.46
986,1802-09-14,25.43
987,1802-09-15,27.67
988,1802-09-16,29.17
989,1802-09-17,31.56
990,1802-09-18,25.16
991,1802-09-19,32.51
992,1802-09-20,32.49
993,1802-09-21,33.8
994,1802-09-22,32.08
995,1802-09-23,31.93
996,1802-09-24,31.37
997,1802-09-25,28.4
998,1802-09-26,27.62
999,1802-09-27,27.41
1000,1802-09-28,25.78
1001,1802-09-29,28.01
1002,1802-09-30,33.58
1003,1802-10-01,23.68
1004,1802-10-02,26.76
1005,1802-10-03,32.97
1006,1802-10-04,32.21
1007,1802-10-05,30.69
1008,1802-10-06,25.45
1009,1802-10-07,23.58
1010,1802-10-08,22.89
1011,1802-10-09,30.57
1012,1802-10-10,25.18
1013,1802-10-11,31.23
1014,1802-10-12,30.7
1015,1802-10-13,30.93
1016,1802-10-14,32.22
1017,1802-10-15,24.04
1018,1802-10-16,23.81
1019,1802-10-17,26.64
1020,1802-10-18,31.23
1021,1802-10-19,31.65
1022,1802-10-20,21.87
1023,1802-10-21,30.0
1024,1802-10-22,30.46
1025,1802-10-23,29.93
1026,1802-10-24,23.87
1027,1802-10-25,26.3
1028,1802-10-26,25.68
1029,1802-10-27,31.07
1030,1802-10-28,24.72
1031,1802-10-29,29.06
1032,1802-10-30,25.2
1033,1802-10-31,24.38
1034,1802-11-01,22.15
1035,1802-11-02,18.52
1036,1802-11-03,18.85
1037,1802-11-04,15.43
1038,1802-11-05,16.59
1039,1802-11-06,14.1
1040,1802-11-07,18.89
1041,1802-11-08,18.23
1042,1802-11-09,21.64
1043,1802-11-10,21.35
1044,1802-11-11,22.76
1045,1802-11-12,15.58
1046,1802-11-13,16.89
1047,1802-11-14,18.87
1048,1802-11-15,16.51
1049,1802-11-16,14.55
1050,1802-11-17,22.38
1051,1802-11-18,23.24
1052,1802-11-19,22.67
1053,1802-11-20,17.49
1054,1802-11-21,22.24
1055,1802-11-22,15.0
1056,1802-11-23,17.65
1057,1802-11-24,20.65
1058,1802-11-25,18.72
1059,1802-11-26,16.7
1060,1802-11-27,18.39
1061,1802-11-28,21.86
1062,1802-11-29,17.85
1063,1802-11-30,15.15
1064,1802-12-01,12.55
1065,1802-12-02,15.73
1066,1802-12-03,11.3
1067,1802-12-04,8.28
1068,1802-12-05,11.38
