,Date,Temperature
157,2023-06-07,37.9
158,2023-06-08,41.1
159,2023-06-09,38.3
160,2023-06-10,40.5
161,2023-06-11,39.7
162,2023-06-12,39.9
163,2023-06-13,40.1
164,2023-06-14,41.3
165,2023-06-15,40.5
166,2023-06-16,39.7
167,2023-06-17,41.9
168,2023-06-18,43.1
169,2023-06-19,40.3
170,2023-06-20,42.5
171,2023-06-21,42.7
172,2023-06-22,43.9
173,2023-06-23,44.1
174,2023-06-24,43.3
175,2023-06-25,42.5
176,2023-06-26,41.7
177,2023-06-27,43.9
178,2023-06-28,45.1
179,2023-06-29,44.3
180,2023-06-30,42.5
181,2023-07-01,37.8
182,2023-07-02,36.6
183,2023-07-03,36.4
184,2023-07-04,35.2
185,2023-07-05,37.0
186,2023-07-06,37.8
187,2023-07-07,37.6
188,2023-07-08,36.4
189,2023-07-09,36.2
190,2023-07-10,34.0
191,2023-07-11,34.8
192,2023-07-12,34.6
193,2023-07-13,33.4
194,2023-07-14,33.2
195,2023-07-15,34.0
196,2023-07-16,34.8
197,2023-07-17,34.6
198,2023-07-18,32.4
199,2023-07-19,34.2
200,2023-07-20,33.0
201,2023-07-21,34.8
202,2023-07-22,33.6
203,2023-07-23,32.4
204,2023-07-24,31.2
205,2023-07-25,34.0
206,2023-07-26,30.8
207,2023-07-27,31.6
208,2023-07-28,32.4
209,2023-07-29,33.2
210,2023-07-30,31.0
211,2023-07-31,30.8
212,2023-08-01,31.3
213,2023-08-02,29.1
214,2023-08-03,29.9
215,2023-08-04,31.7
216,2023-08-05,30.5
217,2023-08-06,28.3
218,2023-08-07,29.1
219,2023-08-08,27.9
220,2023-08-09,30.7
221,2023-08-10,30.5
222,2023-08-11,28.3
223,2023-08-12,27.1
224,2023-08-13,27.9
225,2023-08-14,28.7
226,2023-08-15,26.5
227,2023-08-16,29.3
228,2023-08-17,29.1
229,2023-08-18,26.9
230,2023-08-19,27.7
231,2023-08-20,28.5
232,2023-08-21,27.3
233,2023-08-22,26.1
234,2023-08-23,27.9
235,2023-08-24,26.7
236,2023-08-25,24.5
237,2023-08-26,25.3
238,2023-08-27,27.1
239,2023-08-28,23.9
240,2023-08-29,23.7
241,2023-08-30,23.5
242,2023-08-31,23.3
243,2023-09-01,26.46987298107781
244,2023-09-02,24.26987298107781
245,2023-09-03,24.069872981077808
246,2023-09-04,25.86987298107781
247,2023-09-05,22.66987298107781
248,2023-09-06,24.46987298107781
249,2023-09-07,23.26987298107781
250,2023-09-08,25.069872981077808
251,2023-09-09,24.86987298107781
252,2023-09-10,23.66987298107781
253,2023-09-11,21.46987298107781
254,2023-09-12,22.26987298107781
255,2023-09-13,21.069872981077808
256,2023-09-14,20.86987298107781
257,2023-09-15,22.66987298107781
258,2023-09-16,22.46987298107781
259,2023-09-17,23.26987298107781
260,2023-09-18,23.069872981077808
261,2023-09-19,22.86987298107781
262,2023-09-20,21.66987298107781
263,2023-09-21,19.46987298107781
264,2023-09-22,21.26987298107781
265,2023-09-23,19.069872981077808
266,2023-09-24,20.86987298107781
267,2023-09-25,19.66987298107781
268,2023-09-26,19.46987298107781
269,2023-09-27,20.26987298107781
270,2023-09-28,20.069872981077808
271,2023-09-29,19.86987298107781
272,2023-09-30,18.66987298107781
273,2023-10-01,19.8
274,2023-10-02,19.6
275,2023-10-03,20.4
276,2023-10-04,20.2
277,2023-10-05,20.0
278,2023-10-06,17.8
279,2023-10-07,17.6
280,2023-10-08,17.4
281,2023-10-09,19.2
282,2023-10-10,16.0
283,2023-10-11,16.8
284,2023-10-12,15.6
285,2023-10-13,16.4
286,2023-10-14,18.2
287,2023-10-15,17.0
288,2023-10-16,17.8
289,2023-10-17,17.6
290,2023-10-18,17.4
291,2023-10-19,15.2
292,2023-10-20,14.0
293,2023-10-21,16.8
294,2023-10-22,16.6
295,2023-10-23,16.4
296,2023-10-24,13.2
297,2023-10-25,15.0
298,2023-10-26,12.8
299,2023-10-27,13.6
300,2023-10-28,12.399999999999999
301,2023-10-29,15.2
302,2023-10-30,14.0
303,2023-10-31,14.8
304,2023-11-01,18.46987298107781
305,2023-11-02,15.269872981077807
306,2023-11-03,16.069872981077808
307,2023-11-04,14.869872981077807
308,2023-11-05,15.669872981077809
309,2023-11-06,14.469872981077806
310,2023-11-07,15.269872981077809
311,2023-11-08,17.069872981077808
312,2023-11-09,13.869872981077807
313,2023-11-10,15.669872981077809
314,2023-11-11,13.469872981077806
315,2023-11-12,15.269872981077809
316,2023-11-13,16.069872981077808
317,2023-11-14,15.869872981077808
318,2023-11-15,13.669872981077809
319,2023-11-16,12.469872981077806
320,2023-11-17,14.269872981077809
321,2023-11-18,12.069872981077808
322,2023-11-19,12.869872981077808
323,2023-11-20,13.669872981077809
324,2023-11-21,12.46987298107781
325,2023-11-22,13.269872981077809
326,2023-11-23,11.069872981077808
327,2023-11-24,10.869872981077807
328,2023-11-25,13.669872981077809
329,2023-11-26,11.46987298107781
330,2023-11-27,13.269872981077809
331,2023-11-28,10.069872981077808
332,2023-11-29,11.869872981077808
333,2023-11-30,11.669872981077809
334,2023-12-01,13.299999999999999
335,2023-12-02,13.099999999999998
336,2023-12-03,11.899999999999999
337,2023-12-04,11.699999999999998
338,2023-12-05,11.499999999999998
339,2023-12-06,12.299999999999997
340,2023-12-07,9.099999999999998
341,2023-12-08,11.899999999999999
342,2023-12-09,9.699999999999998
343,2023-12-10,11.499999999999998
344,2023-12-11,11.299999999999997
345,2023-12-12,9.099999999999998
346,2023-12-13,8.899999999999999
347,2023-12-14,8.699999999999998
348,2023-12-15,10.499999999999998
349,2023-12-16,8.299999999999997
350,2023-12-17,7.099999999999998
351,2023-12-18,6.899999999999999
352,2023-12-19,9.699999999999998
353,2023-12-20,8.499999999999998
354,2023-12-21,7.299999999999998
355,2023-12-22,9.099999999999998
356,2023-12-23,5.899999999999998
357,2023-12-24,7.6999999999999975
358,2023-12-25,5.499999999999998
359,2023-12-26,7.299999999999998
360,2023-12-27,5.099999999999998
361,2023-12-28,4.899999999999998
362,2023-12-29,4.6999999999999975
363,2023-12-30,4.499999999999998
364,2023-12-31,7.299999999999998
